artist,album,track,overall_loudness,spectral_energy,dissonance,pitch_salience,bpm,beat_loudness,danceability,tuning_frequency,valence,arousal,aggressive,happy,party,relaxed,sad,acoustic,electronic,instrumental,timbreBright,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
All Get Out,Movement,Orchestra,-7.51848840714,,,,137.670623779,0.0418823771179,1.23491513729,434.193115234,5.092236,3.1348014,0.73410666,0.003872054,0.9454785,0.41905966,0.9388784,0.002871241,0.9579384,0.109099016,0.4503421,270,58.56,98.55,90,72.45,270,13.33,91.11,72.96,53.7,18.52,13.7,2.96,6.67,3.33,0,0.74,4.81,14.81,8.15,0,15.19,9.26,5.56,3.33,0.37,21.11,8.15,3.7,11.48,10,1.48,0,12.96,2.96,10,1.48,1.11,1.11,0.74,1.11,4.44,0,4.81,4.07,0.74,1.11,1.11,0,0,0,0,0,18.89,4.81,0.37,0,0,0,1.11,14.07,2.96,0,0,1.11,0,0,0,0,3.33,1.11,0.37,0.74,0.37,0.74,7.41,2.22,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,8.15,13.33,1.48,2.59,9.63,1.48,0,0,5.19,5.19,4.81,4.44,0.37,0,0.37,0,0,11.11,0,4.81,0,0,6.3,0,0
All Get Out,Movement,Sans,-6.88775634766,,,,129.705535889,0.0367717631161,0.952158510685,434.193115234,5.006755,3.0814407,0.72873646,0.008342693,0.97059244,0.32784885,0.90796864,0.02345869,0.96800065,0.08615511,0.4418524,223,35.32,50.75,96.05,15.24,223,11.21,94.62,73.99,53.81,19.73,14.8,7.62,0.45,5.83,0.45,0.45,4.93,13.9,6.28,0,13,9.42,4.93,3.59,3.14,22.87,8.97,3.14,3.14,1.79,0,1.35,12.11,3.14,8.97,3.14,0.45,0.9,2.24,0.45,3.59,0,8.52,4.04,4.48,4.48,2.24,2.24,0,0.45,0.9,0,20.63,10.31,1.79,0,0.9,1.35,3.59,9.87,0.9,0,1.35,0.9,0,0,0,0,3.14,0.45,0.45,0,0.9,1.35,4.04,0.45,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0.45,1.79,9.87,12.11,0.9,3.14,7.17,1.79,0.45,0,4.48,0.9,9.87,1.35,0.45,0,0.45,0,0,17.04,0,9.42,0,0,7.62,0,0
All Get Out,No Bouquet,Archives,-11.0920333862,,,,162.923934937,0.0332834795117,1.02745056152,441.272583008,4.4002466,3.8848267,0.80523324,0.004018366,0.97448474,0.40295336,0.8394835,0.009336543,0.93923676,0.24863638,0.46747628,298,5.28,74.49,99,16.41,298,9.06,91.61,83.89,65.44,24.83,21.48,10.4,0.34,8.05,0,2.68,3.36,14.09,5.03,1.01,10.4,12.08,9.73,5.03,1.68,24.5,8.72,4.7,2.01,0.34,1.01,0.67,14.09,3.02,11.07,5.03,0.34,2.68,3.36,0,2.01,0,5.03,2.35,2.68,3.02,1.01,2.01,1.34,0,0,0,14.09,1.68,0,0,0,0,0.67,11.74,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0.34,2.01,1.01,0.34,0,0,0,0,0.34,0.67,0,0,0,0.67,0.34,0,0,0,1.68,11.41,13.76,1.01,2.68,9.73,1.01,0,1.34,5.03,2.68,8.72,1.01,0,0,0,0,0,7.38,0,0.34,0,0,7.05,0,0
All Get Out,No Bouquet,First Contact,-11.3135957718,,,,146.967666626,0.0371127314866,1.04813444614,438.477722168,4.238873,3.7263823,0.7151225,0.003440511,0.9884032,0.1967997,0.9011286,0.027870206,0.9735451,0.10772479,0.47115687,235,29.06,16.94,91.07,4.04,235,8.09,91.49,83.83,64.68,14.47,11.91,8.09,0.85,2.98,0,0,2.55,17.02,8.09,0.43,11.49,13.19,6.38,5.96,3.4,24.26,5.96,6.81,1.28,0.85,0,0.43,21.7,5.11,16.6,2.13,0.43,7.23,3.83,2.13,1.28,0.85,5.53,1.7,3.83,3.83,0.43,3.4,0,2.13,0.43,0,4.68,0.43,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,1.28,0,1.28,0,0,0,1.7,0,0,0,0,0,0,0.43,0,0,2.13,0,0.85,0.43,0,0,0,0,7.66,13.19,0,3.4,8.51,0.43,0,0.85,9.36,2.55,8.94,0,0.43,0,0.43,0,0,4.68,0,0,0,0,4.68,0,0
All Get Out,No Bouquet,God Damn,-10.7383460999,,,,155.626480103,0.0309217907488,1.02254831791,442.548919678,4.636181,3.6715198,0.79271215,0.003298601,0.99149084,0.34093815,0.86904466,0.012575762,0.9456856,0.14105086,0.46959314,249,1,35.46,96.48,70.72,124.5,11.24,93.17,82.73,65.06,28.11,20.88,10.84,0.4,9.64,0,0,7.23,11.65,3.21,0,7.63,12.05,8.43,8.03,4.82,26.1,5.22,2.41,3.61,1.61,0.8,1.2,17.67,3.21,14.46,4.02,0.4,4.02,4.42,0,5.22,0,6.02,4.42,1.2,2.81,2.41,0.4,0,0,0,0.4,17.27,6.83,0,0,0,0,3.61,10.44,0,0,0,0,0,0,0,0,1.2,0.4,0,0,0,0.8,1.61,0.4,0,0,0,0,0,0,0,2.01,1.61,0,0.4,0.4,0,0,0.4,0,11.65,11.65,1.2,1.2,6.43,1.61,0,2.01,4.42,4.42,10.04,4.42,0.8,0.4,0.4,0,0,6.83,0,0.4,0.4,0,6.02,0,0
All Get Out,No Bouquet,However Long,-11.1143550873,,,,135.773712158,0.0295293591917,0.92878562212,441.272583008,4.50465,3.8504975,0.76752627,0.002081557,0.9727617,0.37800145,0.80027306,0.006936653,0.91176486,0.15811083,0.46618643,214,1.27,54.01,99,7.58,214,10.28,92.99,80.37,65.89,30.37,25.7,14.02,0,11.68,0,0,4.67,11.21,5.61,0,9.81,16.36,7.94,4.67,2.34,24.77,7.48,2.8,0.47,0,0.47,0,16.82,3.27,13.55,2.34,0.93,3.27,0.93,2.34,4.67,0.93,1.4,0,1.4,0.93,0,0.93,0,0,0.47,0,16.82,1.4,0,0,0,0,1.4,11.68,0,0,0,0,0,0,0,0,0.93,0,0.93,0,0,0,1.4,0,0,0,0,0,0,0,0,0.47,0,0.47,0,0,0,0,0,0,9.35,12.62,0.47,1.4,6.54,0.47,2.8,0.47,7.48,3.27,11.21,3.27,3.27,3.27,0,0,0,7.01,0,0,0,0,6.54,0.47,0
All Get Out,No Bouquet,Namesake,-12.4963417053,,,,139.926940918,0.0339932590723,0.997834742069,443.060424805,4.1008954,3.8061798,0.6074941,0.001414286,0.9766571,0.08551689,0.77836037,0.016138708,0.87160987,0.15847291,0.46438703,326,3.69,40.06,99,13.64,163,8.28,93.56,81.6,62.88,23.01,18.4,10.12,1.23,6.75,0,0.31,4.6,11.66,5.83,0,10.43,13.8,8.9,6.44,4.29,26.99,7.06,3.07,1.23,1.23,0,0,21.17,3.68,17.48,5.21,3.37,5.52,3.99,0,2.76,0,1.84,0.61,1.23,1.53,0.61,0.92,0,0,0,0,11.96,1.84,0.31,0,0,0,0.92,9.2,0.31,0,0,0,0,0,0,0,3.37,0,2.76,0.31,0.61,0,3.99,1.23,0,0,0,0,0,0,0.61,0,1.84,0,0,0.31,0.92,0,0,0,7.67,13.19,0,3.68,7.36,0,0.92,2.45,7.36,3.37,7.67,1.53,0,0,0,0,0,12.58,0,1.53,0.31,0,10.74,0,0
All Get Out,No Bouquet,Rose,-14.2730407715,,,,121.962249756,0.0336088947952,1.05246424675,441.527557373,3.861727,3.7037053,0.45248196,0.001354303,0.9843902,0.047806874,0.7404487,0.016400194,0.8626481,0.2128545,0.46695474,266,4.13,99,72.58,30.46,266,7.52,95.86,82.33,61.65,23.68,16.54,1.5,1.13,11.28,0,1.88,7.14,11.65,5.64,0.38,11.65,12.03,9.77,6.77,4.51,23.68,9.02,5.26,4.89,2.26,1.5,1.13,17.29,9.02,8.27,0.75,0.75,1.13,3.01,0.38,3.01,0,9.77,4.14,3.38,4.14,0,1.88,0.75,0,0.75,0,23.68,5.26,1.88,0,0,2.26,1.13,18.8,0,0,0.75,0,0,0,0,0,1.88,0,1.88,0,0,0,1.5,0.38,0.38,0,0,0,0,0,0,0.75,0.38,2.26,0,0,0,0,0.38,0,11.28,11.65,0,2.26,8.65,1.5,0,0.38,6.39,4.14,9.02,3.01,0.75,0.75,0,0,0,13.16,0,4.14,0,0,8.27,0.75,0
All Get Out,No Bouquet,Self Repair,-11.7753658295,,,,84.998626709,0.0403161682189,1.02782857418,440.508636475,4.2027392,3.8565516,0.64268214,0.003332836,0.96601844,0.12992635,0.88974833,0.018569434,0.97017205,0.12690967,0.46493167,298,1,96.92,68.69,13.1,149,7.05,95.97,89.93,65.77,29.53,20.13,3.69,1.34,14.09,0,1.01,9.4,6.38,2.35,1.01,9.4,23.49,4.03,6.04,9.4,35.91,11.41,3.69,1.34,1.34,0,0,18.12,3.36,14.43,6.04,0.67,1.01,1.68,0,5.37,0,4.7,2.01,2.68,2.01,0.34,1.68,0,0.34,1.01,0,21.48,5.03,0.67,0,0.34,0.34,3.02,17.11,0,0,0,0,0,0,0,0,0.34,0,0.34,0,0,0,1.01,0.67,0.34,0,0,0,0,0,0,0,0.67,1.68,0,0,0.34,0,1.01,0,13.09,6.71,0.34,2.35,1.34,1.34,0,1.68,3.02,7.72,15.77,0.34,4.03,0.34,3.69,0,0,22.15,0,3.69,0.34,0,17.79,0.34,0
All Get Out,No Bouquet,Survive,-12.6562318802,,,,140.915634155,0.0361316055059,1.15306782722,441.272583008,4.188434,3.838007,0.6475431,0.001913146,0.98423344,0.17950648,0.8333135,0.01887572,0.9333055,0.17835405,0.4705041,318,1,1.14,99,16.64,63.6,10.06,94.97,79.25,63.21,31.13,23.27,17.3,0.94,5.03,0,0,7.86,12.26,2.52,0.94,8.81,18.24,10.06,3.77,4.09,24.53,14.78,5.97,1.57,1.26,0.31,0,18.55,3.77,14.78,1.26,2.52,1.57,5.35,0.63,4.4,0,3.46,1.57,1.89,1.26,0.31,0.94,0,0,0,0,8.81,2.52,0,0,0,0.31,1.57,6.29,0,0,0,0,0,0,0,0,2.2,0.63,0.94,0.63,0,0.31,8.81,0.94,0.63,0,0,0,0,0,4.72,0,0,0.63,0,0.31,0.31,0,0,0,14.15,8.81,0,0.94,5.66,1.26,0.63,0.31,4.4,2.83,15.41,0,0,0,0,0,0,16.35,0,0,1.26,0,14.78,0.31,0
All Get Out,No Bouquet,Trip,-11.9520606995,,,,135.129241943,0.0294975731522,0.945075273514,442.03793335,4.269301,3.861941,0.7030332,0.003457188,0.9750359,0.15757139,0.8386447,0.006961952,0.9039236,0.156531,0.4651826,185,2.18,16.25,99,44.53,37,7.03,98.38,85.95,74.05,30.81,22.16,14.59,0,6.49,0,0,8.65,13.51,3.24,0,14.05,15.14,9.19,3.78,1.62,24.86,5.41,3.24,0,0,0,0,25.41,3.24,21.08,3.78,0.54,2.7,5.95,2.7,7.57,0,2.16,1.62,0,1.08,1.08,0,0,0,0,0.54,16.76,3.78,0,0,0,0,2.7,12.97,0,0,0,0.54,0,0,0,0,0.54,0,0,0.54,0,0,2.7,0,0,0,0,0,0,0,0.54,0.54,0,0.54,0,0,0,0,0,0,8.11,17.84,1.08,0.54,15.14,2.16,0,0,2.16,3.78,13.51,1.08,0,0,0,0,0,8.65,0,0,2.16,0,6.49,0,0
All Get Out,No Bouquet,Value,-11.284081459,,,,139.979324341,0.0402680374682,1.05968999863,440.254241943,4.368922,3.9334557,0.72651273,0.003288363,0.97973454,0.39481542,0.8640199,0.014469699,0.96025896,0.16984425,0.4679026,344,10.86,65.75,98.72,11.37,344,13.37,90.12,75,60.17,21.8,14.53,5.52,0.87,6.98,0.29,0.87,7.27,11.63,7.56,0,10.17,10.17,10.17,4.36,4.07,19.77,3.78,3.2,4.65,1.45,2.03,1.16,16.86,2.33,14.53,3.78,1.16,4.07,2.33,0,5.23,0,5.52,2.33,3.2,1.45,0,1.45,0,0,0.87,0,14.83,2.91,0.29,0,0.58,0.29,0.58,11.34,0,0,0,1.16,0.29,0.29,0,0,0.58,0,0.29,0.29,0,0,0.87,0,0,0,0,0,0,0,0.58,0.29,0,1.16,0,0,0,0,0.29,0,6.98,11.92,1.16,1.74,9.01,1.74,0,0.58,9.59,2.03,9.3,0.29,0,0,0,0,0,11.63,0,2.03,0,0,6.98,2.62,0
All Get Out,Nobody Likes A Quitter,ATX,-8.45586585999,,,,128.255599976,0.0239934176207,0.967427134514,441.017791748,4.5590954,3.2913513,0.5119829,0.002306388,0.98524755,0.30815548,0.81426054,0.010600859,0.9004954,0.10043147,0.46734056,598,1,1,99,14.71,199.33,4.85,97.49,91.3,71.91,26.25,21.74,14.55,2.17,4.85,0,0.17,4.52,8.36,2.34,0.33,10.7,23.41,4.18,2.01,13.04,41.81,1.84,4.52,3.18,2.34,0.67,0.17,30.1,8.03,22.07,13.21,1.17,5.35,0.84,0.33,1.51,0,1.17,0.33,0.84,0.67,0.33,0.33,0.17,0,0.17,0,9.36,1,0,0,0,0.17,0.33,7.53,0,0.17,0,0,0,0,0,0,1.17,0,1,0,0.17,0,0.5,0.17,0,0,0,0.17,0,0,0,0,0.5,0.17,0,0,0,0,0,0.17,22.91,8.36,0,2.01,7.02,0.17,0,0.84,2.01,2.17,18.56,0.33,0,0,0,0,0,32.61,0,8.7,0.33,0,13.88,9.7,0
All Get Out,Nobody Likes A Quitter,Chasing Skirt,-7.58407020569,,,,132.052947998,0.0409161411226,1.2738032341,441.017791748,5.024783,3.632073,0.71732455,0.00501478,0.9724967,0.50474817,0.7736787,0.017569926,0.9452734,0.13898009,0.46946087,296,8.75,3.79,98.42,29.32,296,5.07,97.64,83.45,65.88,24.66,19.93,11.82,0.68,7.43,0,0,4.73,13.51,6.42,0.34,11.82,11.49,5.07,3.38,8.11,25,4.05,5.41,1.01,0.68,0,0.34,24.66,1.69,22.97,2.03,4.39,5.07,3.72,1.69,9.46,0.34,2.7,1.69,1.01,0.68,0.68,0,0,0,0,0,13.85,2.7,0,0,0.34,0,0.34,11.15,0,0,0,2.03,0,0,0,0,0.68,0,0,0.34,0,0.34,2.36,0,0,0,0,0,0,0,0.68,0,3.04,0.34,0,0.34,0,0,0,0,7.77,11.82,0,3.04,7.09,1.01,0,1.01,1.69,5.74,8.78,0,0,0,0,0,0,19.59,0,3.04,0,0,9.8,6.76,0
All Get Out,Nobody Likes A Quitter,Empty Nest,-10.6825704575,,,,104.806098938,0.023978272453,0.874917924404,440.254241943,4.020015,3.4628005,0.36863592,0.003180597,0.99576217,0.09807756,0.73267716,0.08549477,0.8658653,0.20271504,0.4525044,291,29.37,28.7,94.23,1,291,12.03,91.41,74.91,50.17,16.84,9.97,4.12,0,5.84,0,0,6.87,20.96,4.81,0,9.28,9.62,1.37,6.19,3.78,24.4,11.34,10.31,1.72,0,1.72,0,20.62,7.9,12.71,3.78,2.75,0.69,0,0,5.84,0,6.19,0,5.84,1.72,0,1.72,0.34,1.37,0,0.34,8.25,2.06,0,0,0,0.34,1.37,6.19,0,0,0,0,0,0,0,0,2.75,0,0,1.37,0,1.37,4.81,0,0,0,0,0,0,1.37,0,0,0,1.37,2.06,0.69,0,0,0.34,0,7.22,11.68,0,2.75,4.47,2.41,0,0.69,6.53,4.81,9.62,2.06,0.34,0,0.34,0,0,11,0,1.72,0,0,6.53,2.75,0
